,Adj Close,Close,Date,High,Low,Open,Volume,S&P 500 PE Ratio
0,3756.07,3756.07,2020-12-31,3760.2,3726.88,3733.27,3172510000,37.85
1,3732.04,3732.04,2020-12-30,3744.63,3730.21,3736.19,3145200000,37.842333333333336
2,3727.04,3727.04,2020-12-29,3756.12,3723.31,3750.01,3387030000,37.83466666666667
3,3735.36,3735.36,2020-12-28,3740.51,3723.03,3723.03,3527460000,37.827
4,3703.06,3703.06,2020-12-24,3703.82,3689.32,3694.03,1885090000,37.79633333333334
5,3690.01,3690.01,2020-12-23,3711.24,3689.28,3693.42,3772630000,37.788666666666664
6,3687.26,3687.26,2020-12-22,3698.26,3676.16,3698.08,4023940000,37.781
7,3694.92,3694.92,2020-12-21,3702.9,3636.48,3684.28,4732160000,37.77333333333333
8,3709.41,3709.41,2020-12-18,3726.7,3685.84,3722.39,7068340000,37.75033333333333
9,3722.48,3722.48,2020-12-17,3725.12,3710.87,3713.65,4184930000,37.742666666666665
10,3701.17,3701.17,2020-12-16,3711.27,3688.57,3696.25,4056950000,37.735
11,3694.62,3694.62,2020-12-15,3695.29,3659.62,3666.41,4360280000,37.727333333333334
12,3647.49,3647.49,2020-12-14,3697.61,3645.84,3675.27,4594920000,37.71966666666667
13,3663.46,3663.46,2020-12-11,3665.91,3633.4,3656.08,4367150000,37.696666666666665
14,3668.1,3668.1,2020-12-10,3678.49,3645.18,3659.13,4618240000,37.689
15,3672.82,3672.82,2020-12-09,3712.39,3660.54,3705.98,5209940000,37.681333333333335
16,3702.25,3702.25,2020-12-08,3708.45,3678.83,3683.05,4549670000,37.67366666666666
17,3691.96,3691.96,2020-12-07,3697.41,3678.88,3694.73,4788560000,37.666
18,3699.12,3699.12,2020-12-04,3699.2,3670.94,3670.94,5086370000,37.643
19,3666.72,3666.72,2020-12-03,3682.73,3657.17,3668.28,5091760000,37.63533333333333
20,3669.01,3669.01,2020-12-02,3670.96,3644.84,3653.78,5029620000,37.62766666666666
21,3662.45,3662.45,2020-12-01,3678.45,3645.87,3645.87,5403660000,37.62
22,3621.63,3621.63,2020-11-30,3634.18,3594.39,3634.18,6291400000,36.66
23,3638.35,3638.35,2020-11-27,3644.31,3629.33,3638.55,2778450000,36.6051724137931
24,3629.65,3629.65,2020-11-25,3635.5,3617.76,3635.5,4902560000,36.56862068965517
25,3635.41,3635.41,2020-11-24,3642.31,3594.52,3594.52,6267570000,36.5503448275862
26,3577.59,3577.59,2020-11-23,3589.81,3552.77,3566.82,5036290000,36.53206896551724
27,3557.54,3557.54,2020-11-20,3581.23,3556.85,3579.31,4218970000,36.47724137931034
28,3581.87,3581.87,2020-11-19,3585.22,3543.84,3559.41,4347200000,36.45896551724138
