DAY,TOTAL BALANCE,STATUS
129,601224.8199999998,Bought 1 units for price $3053.24
130,598215.7699999998,Bought 1 units for price $3009.05
131,595132.0099999998,Bought 1 units for price $3083.76
132,592081.6799999998,Bought 1 units for price $3050.33
133,588950.3899999998,Bought 1 units for price $3131.29
134,585832.5299999998,Bought 1 units for price $3117.86
135,582734.7899999998,Bought 1 units for price $3097.74
136,579619.4499999998,Bought 1 units for price $3115.34
137,576505.9599999998,Bought 1 units for price $3113.49
138,573381.2199999999,Bought 1 units for price $3124.74
139,570314.6299999999,Bought 1 units for price $3066.59
140,567273.3199999998,Bought 1 units for price $3041.31
141,564271.2199999999,Bought 1 units for price $3002.1
142,561081.0799999998,Bought 1 units for price $3190.14
143,557873.8999999998,Bought 1 units for price $3207.18
144,554641.5099999998,Bought 1 units for price $3232.39
145,551447.5799999997,Bought 1 units for price $3193.93
146,548335.2299999997,Bought 1 units for price $3112.35
147,545212.3599999998,Bought 1 units for price $3122.87
148,542131.5399999998,Bought 1 units for price $3080.82
149,539075.8099999998,Bought 1 units for price $3055.73
150,536031.4999999998,Bought 1 units for price $3044.31
151,533001.7699999998,Bought 1 units for price $3029.73
152,529965.6399999998,Bought 1 units for price $3036.13
153,526973.8699999998,Bought 1 units for price $2991.77
154,529929.3199999997,Sold 1 units for price $2955.45 and investment $-1.2139970652824303
155,526980.8099999997,Bought 1 units for price $2948.51
156,529952.4199999997,Sold 1 units for price $2971.61 and investment $0.7834465543613522
157,527029.4799999997,Bought 1 units for price $2922.94
158,529983.3899999998,Sold 1 units for price $2953.91 and investment $1.059549631535365
159,532847.0899999997,Sold 1 units for price $2863.7 and investment $-2.026726515084136
160,535699.5899999997,Sold 1 units for price $2852.5 and investment $-2.409902358584167
161,532879.5899999997,Bought 1 units for price $2820.0
162,535749.7099999997,Sold 1 units for price $2870.12 and investment $1.7773049645390033
163,538679.8999999997,Sold 1 units for price $2930.19 and investment $3.9074468085106404
164,541609.6999999997,Sold 1 units for price $2929.8 and investment $3.8936170212766017
165,538728.5099999998,Bought 1 units for price $2881.19
