DAY,TOTAL BALANCE,STATUS
0,996243.9282258463,Bought 1 units for price $3756.0717741537146
1,992511.8867785641,Bought 1 units for price $3732.041447282234
2,988784.8449234351,Bought 1 units for price $3727.0418551289313
3,985049.486228588,Bought 1 units for price $3735.3586948470784
4,981346.426602805,Bought 1 units for price $3703.059625782958
5,985036.4359613259,Sold 1 units for price $3690.009358520877 and investment $-0.35241850201971003
6,988723.6956999539,Sold 1 units for price $3687.259738628031 and investment $-0.42667115173946024
7,985028.774973115,Bought 1 units for price $3694.920726839041
8,981319.365413433,Bought 1 units for price $3709.409559681838
9,977596.8835335547,Bought 1 units for price $3722.481879878313
10,973895.7136901164,Bought 1 units for price $3701.1698434383115
11,970201.0947706719,Bought 1 units for price $3694.6189194445055
12,966553.6044278807,Bought 1 units for price $3647.490342791157
13,962890.1446050934,Bought 1 units for price $3663.459822787275
14,966558.2437081486,Sold 1 units for price $3668.099103055229 and investment $0.12663658105644465
15,962885.4239750616,Bought 1 units for price $3672.8197330869484
16,959183.1761054806,Bought 1 units for price $3702.2478695809523
17,955491.2173209107,Bought 1 units for price $3691.9587845699616
18,951792.0970722802,Bought 1 units for price $3699.1202486303546
19,948125.3769308717,Bought 1 units for price $3666.720141408557
20,944456.3683119734,Bought 1 units for price $3669.0086188983173
21,940793.9186720453,Bought 1 units for price $3662.4496399280733
22,937172.2885096858,Bought 1 units for price $3621.630162359588
23,933533.9393779539,Bought 1 units for price $3638.349131731873
24,929904.289557278,Bought 1 units for price $3629.649820675791
25,926268.8797282046,Bought 1 units for price $3635.4098290734746
26,922691.2894860841,Bought 1 units for price $3577.590242120393
27,919133.749637238,Bought 1 units for price $3557.5398488461965
28,915551.8794155711,Bought 1 units for price $3581.870221666899
29,911984.0898870147,Bought 1 units for price $3567.789528556369
30,908374.5587739187,Bought 1 units for price $3609.5311130960436
31,904747.647547294,Bought 1 units for price $3626.9112266246525
32,901162.4968185906,Bought 1 units for price $3585.150728703441
33,897625.4864271675,Bought 1 units for price $3537.0103914229985
34,894052.8261996444,Bought 1 units for price $3572.660227523212
35,890507.296970072,Bought 1 units for price $3545.5292295723543
36,886956.7976065541,Bought 1 units for price $3550.49936351788
37,883447.3572223854,Bought 1 units for price $3509.440384168785
38,879936.9061625628,Bought 1 units for price $3510.4510598226025
39,876493.4660477367,Bought 1 units for price $3443.440114826088
40,873124.3074573253,Bought 1 units for price $3369.158590411364
41,869814.0675555281,Bought 1 units for price $3310.239901797155
42,866544.106566927,Bought 1 units for price $3269.960988601112
43,863233.9960791757,Bought 1 units for price $3310.1104877512794
44,859962.9660467858,Bought 1 units for price $3271.030032389917
45,856572.2845370868,Bought 1 units for price $3390.681509699026
46,853171.3138846646,Bought 1 units for price $3400.970652422291
47,849705.9247546988,Bought 1 units for price $3465.3891299657976
48,846252.4358990111,Bought 1 units for price $3453.488855687717
49,842816.8766389018,Bought 1 units for price $3435.5592601093736
50,839373.7576743792,Bought 1 units for price $3443.11896452266
51,835946.8392547608,Bought 1 units for price $3426.918419618405
52,832463.0298942928,Bought 1 units for price $3483.8093604679802
53,828979.6904216853,Bought 1 units for price $3483.3394726074516
54,825491.0200762372,Bought 1 units for price $3488.670345448233
55,821979.0893985451,Bought 1 units for price $3511.930677692111
56,818444.8692502338,Bought 1 units for price $3534.2201483113454
57,814967.7292619864,Bought 1 units for price $3477.1399882473097
58,811520.9006489629,Bought 1 units for price $3446.828613023517
59,808101.4621632689,Bought 1 units for price $3419.4384856939923
60,804740.4923586427,Bought 1 units for price $3360.969804626204
61,801331.8894742858,Bought 1 units for price $3408.60288435697
