DAY,TOTAL BALANCE,STATUS
0,996243.9299350119,Bought 1 units for price $3756.0700649880823
1,992511.8876491028,Bought 1 units for price $3732.042285909119
2,988784.848358414,Bought 1 units for price $3727.039290688864
3,985049.4912086948,Bought 1 units for price $3735.357149719203
4,981346.4286834716,Bought 1 units for price $3703.0625252231157
5,985036.4401094817,Sold 1 units for price $3690.0114260100954 and investment $-0.3524406926462558
6,988723.6944599163,Sold 1 units for price $3687.2543504346336 and investment $-0.42689462251328447
7,985028.7810295132,Bought 1 units for price $3694.913430403091
8,981319.3751432854,Bought 1 units for price $3709.4058862278334
9,977596.8967146641,Bought 1 units for price $3722.4784286212575
10,973895.7317058695,Bought 1 units for price $3701.165008794472
11,970201.1113011986,Bought 1 units for price $3694.6204046709418
12,966553.6251592046,Bought 1 units for price $3647.486141993983
13,962890.1671684931,Bought 1 units for price $3663.457990711456
14,966558.2738596296,Sold 1 units for price $3668.10669113645 and investment $0.12689378278065316
15,962885.457180355,Bought 1 units for price $3672.8166792746288
16,959183.2048641223,Bought 1 units for price $3702.252316232672
17,955491.2437640359,Bought 1 units for price $3691.961100086477
18,951792.125370906,Bought 1 units for price $3699.118393129926
19,948125.4108101899,Bought 1 units for price $3666.7145607160887
20,944456.4049483,Bought 1 units for price $3669.0058618898693
21,940793.9516088514,Bought 1 units for price $3662.4533394485356
22,937172.322391077,Bought 1 units for price $3621.629217774519
23,933533.9704910343,Bought 1 units for price $3638.3519000426036
24,929904.3214943813,Bought 1 units for price $3629.6489966530876
25,926268.9107764541,Bought 1 units for price $3635.4107179272064
26,922691.3198434768,Bought 1 units for price $3577.590932977371
27,919133.7754408295,Bought 1 units for price $3557.544402647269
28,915551.9048788704,Bought 1 units for price $3581.8705619590687
29,911984.1182536401,Bought 1 units for price $3567.7866252302147
30,908374.5888025884,Bought 1 units for price $3609.529451051745
31,904747.677575856,Bought 1 units for price $3626.911226732437
32,901162.527283109,Bought 1 units for price $3585.1502927469533
33,897625.5170955881,Bought 1 units for price $3537.010187520821
34,894052.8571486317,Bought 1 units for price $3572.659946956429
35,890507.3232610254,Bought 1 units for price $3545.5338876063734
36,886956.8268243122,Bought 1 units for price $3550.4964367131697
37,883447.3884034259,Bought 1 units for price $3509.438420886308
38,879936.9407729545,Bought 1 units for price $3510.447630471397
39,876493.5044443615,Bought 1 units for price $3443.4363285929753
40,873124.3475327725,Bought 1 units for price $3369.1569115891325
41,869814.1111831343,Bought 1 units for price $3310.2363496382377
42,866544.1562077908,Bought 1 units for price $3269.9549753433903
43,863234.0491517198,Bought 1 units for price $3310.1070560710377
44,859963.0149651784,Bought 1 units for price $3271.0341865412965
45,856572.3290255358,Bought 1 units for price $3390.685939642591
46,853171.3581763428,Bought 1 units for price $3400.970849193037
47,849705.9682072513,Bought 1 units for price $3465.389969091503
48,846252.4770186777,Bought 1 units for price $3453.4911885735264
49,842816.9123483105,Bought 1 units for price $3435.564670367232
50,839373.788668656,Bought 1 units for price $3443.1236796544126
51,835946.8745162336,Bought 1 units for price $3426.9141524224306
52,832463.066109883,Bought 1 units for price $3483.8084063505853
53,828979.7250654899,Bought 1 units for price $3483.3410443931157
54,825491.0551520712,Bought 1 units for price $3488.6699134186574
55,821979.1245289072,Bought 1 units for price $3511.93062316392
56,818444.9085469055,Bought 1 units for price $3534.2159820017364
57,814967.7704390781,Bought 1 units for price $3477.138107827434
58,811520.9385582105,Bought 1 units for price $3446.831880867548
59,808101.4987066,Bought 1 units for price $3419.439851610412
60,804740.5314693704,Bought 1 units for price $3360.9672372296754
61,801331.9333719831,Bought 1 units for price $3408.5980973871924
62,797983.5143880582,Bought 1 units for price $3348.418983924871
63,794602.7167930659,Bought 1 units for price $3380.7975949923048
64,791239.7144769271,Bought 1 units for price $3363.002316138881
65,787904.2431319918,Bought 1 units for price $3335.471344935198
66,784552.641294546,Bought 1 units for price $3351.6018374458613
67,781254.1807427959,Bought 1 units for price $3298.4605517500067
68,778007.5963761406,Bought 1 units for price $3246.5843666553737
69,774770.6728641614,Bought 1 units for price $3236.923511979135
70,771455.1049327689,Bought 1 units for price $3315.5679313925593
71,768174.0440497494,Bought 1 units for price $3281.0608830194988
72,764854.5755762085,Bought 1 units for price $3319.4684735408196
73,761497.5654661219,Bought 1 units for price $3357.0101100866423
74,758112.0731644446,Bought 1 units for price $3385.492301677261
75,754710.8726892904,Bought 1 units for price $3401.200475154168
76,751327.331458786,Bought 1 units for price $3383.541230504438
77,747986.3628820489,Bought 1 units for price $3340.9685767370647
78,744647.174380893,Bought 1 units for price $3339.188501155977
79,741248.2086033396,Bought 1 units for price $3398.965777553341
80,737916.3686955741,Bought 1 units for price $3331.8399077655517
81,734489.4102010556,Bought 1 units for price $3426.9584945184965
82,731034.3494579254,Bought 1 units for price $3455.0607431301396
83,727453.5116201171,Bought 1 units for price $3580.837837808292
84,723926.8580883042,Bought 1 units for price $3526.6535318128954
85,720426.5467283584,Bought 1 units for price $3500.311359945761
86,716918.5341999204,Bought 1 units for price $3508.012528437958
87,713433.9826811071,Bought 1 units for price $3484.5515188132954
88,709955.2532343827,Bought 1 units for price $3478.7294467244005
89,706511.6332545419,Bought 1 units for price $3443.619979840845
90,703080.3515347077,Bought 1 units for price $3431.281719834192
91,699683.1966668069,Bought 1 units for price $3397.154867900825
92,696297.683714319,Bought 1 units for price $3385.512952487932
93,692922.837920914,Bought 1 units for price $3374.8457934050175
94,689533.0579491868,Bought 1 units for price $3389.7799717272837
95,686151.069753063,Bought 1 units for price $3381.988196123736
96,682778.2217319733,Bought 1 units for price $3372.848021089628
97,679404.7932540448,Bought 1 units for price $3373.428477928561
98,676024.4396185813,Bought 1 units for price $3380.3536354635607
99,672690.7490010547,Bought 1 units for price $3333.6906175265945
100,669330.2763676385,Bought 1 units for price $3360.4726334161705
101,665978.9974129633,Bought 1 units for price $3351.278954675202
102,662629.835255009,Bought 1 units for price $3349.16215795434
103,659302.0657864503,Bought 1 units for price $3327.7694685587203
104,655995.554847999,Bought 1 units for price $3306.5109384512816
105,652700.9410366024,Bought 1 units for price $3294.613811396689
106,649429.8243355955,Bought 1 units for price $3271.116701006887
107,646183.604029877,Bought 1 units for price $3246.2203057185066
108,642925.1640700424,Bought 1 units for price $3258.439959834517
109,639706.7311753053,Bought 1 units for price $3218.4328947370727
110,636467.318651322,Bought 1 units for price $3239.4125239832592
111,633251.6898351327,Bought 1 units for price $3215.6288161893513
112,630016.0328705271,Bought 1 units for price $3235.6569646055177
113,626740.0099971074,Bought 1 units for price $3276.022873419657
114,623482.7068702267,Bought 1 units for price $3257.3031268807777
115,620230.8615555001,Bought 1 units for price $3251.845314726558
116,617006.1325550737,Bought 1 units for price $3224.729000426405
117,613790.5630291316,Bought 1 units for price $3215.569525942071
118,610564.000627849,Bought 1 units for price $3226.5624012826293
119,607366.4847157403,Bought 1 units for price $3197.515912108707
120,610521.7060169617,Sold 1 units for price $3155.221301221404 and investment $-1.3227333983589413
121,607336.6666432013,Bought 1 units for price $3185.0393737604427
122,610488.7190027751,Sold 1 units for price $3152.0523595738905 and investment $-1.0356862291346118
123,613658.6568799919,Sold 1 units for price $3169.9378772167784 and investment $-0.47413845706512003
124,616803.9748451415,Sold 1 units for price $3145.3179651496143 and investment $-1.247124570517662
125,613624.2506921203,Bought 1 units for price $3179.724153021196
126,610494.239083221,Bought 1 units for price $3130.011608899336
127,607378.3796969849,Bought 1 units for price $3115.859386236025
128,604278.0907195158,Bought 1 units for price $3100.2889774690802
129,601224.849238622,Bought 1 units for price $3053.2414808937588
130,598215.7993603688,Bought 1 units for price $3009.049878253284
131,595132.0412078063,Bought 1 units for price $3083.758152562401
132,592081.7155732816,Bought 1 units for price $3050.32563452472
133,588950.4255653337,Bought 1 units for price $3131.290007947991
134,585832.5666736638,Bought 1 units for price $3117.8588916699273
135,582734.8239593974,Bought 1 units for price $3097.7427142663537
136,579619.4852072027,Bought 1 units for price $3115.338752194689
137,576505.9961117922,Bought 1 units for price $3113.4890954105626
138,573381.2515840227,Bought 1 units for price $3124.744527769505
139,570314.6656786987,Bought 1 units for price $3066.5859053239924
140,567273.3592634336,Bought 1 units for price $3041.306415265077
141,564271.2602668133,Bought 1 units for price $3002.0989966203333
142,561081.1250187735,Bought 1 units for price $3190.1352480398555
143,557873.9467336922,Bought 1 units for price $3207.1782850812438
144,554641.5572676478,Bought 1 units for price $3232.3894660443225
145,551447.6225545416,Bought 1 units for price $3193.934713106245
146,548335.2711840549,Bought 1 units for price $3112.3513704866473
147,545212.4029112302,Bought 1 units for price $3122.868272824658
148,542131.5826930401,Bought 1 units for price $3080.8202181901233
149,539075.8486552533,Bought 1 units for price $3055.734037786818
150,536031.539329896,Bought 1 units for price $3044.3093253573525
151,533001.8083527274,Bought 1 units for price $3029.7309771684986
152,529965.6835179427,Bought 1 units for price $3036.1248347847823
153,526973.9139455123,Bought 1 units for price $2991.7695724303508
154,529929.3691469152,Sold 1 units for price $2955.455201402833 and investment $-1.2138090901839673
155,526980.8611786938,Bought 1 units for price $2948.507968221291
156,529952.4707316807,Sold 1 units for price $2971.609552986867 and investment $0.7835008422755751
157,527029.5267474789,Bought 1 units for price $2922.9439842018573
158,529983.4345977176,Sold 1 units for price $2953.9078502387542 and investment $1.059338331635935
159,532847.1346764369,Sold 1 units for price $2863.7000787192787 and investment $-2.0268573671881644
160,535699.6363879311,Sold 1 units for price $2852.5017114941465 and investment $-2.409976827761407
161,532879.638746734,Bought 1 units for price $2819.997641197006
162,535749.763665015,Sold 1 units for price $2870.1249182809674 and investment $1.7775645040144026
163,538679.9546269522,Sold 1 units for price $2930.1909619372045 and investment $3.907567833759771
164,541609.752479306,Sold 1 units for price $2929.797852353784 and investment $3.8936277659498697
165,538728.5684990765,Bought 1 units for price $2881.1839802293803
166,541576.9874458292,Sold 1 units for price $2848.4189467526776 and investment $-1.137207262761962
167,544445.4314037489,Sold 1 units for price $2868.443957919728 and investment $-0.44218010363358184
168,547288.169154827,Sold 1 units for price $2842.7377510781293 and investment $-1.3343899388261242
169,550118.8775288955,Sold 1 units for price $2830.708374068471 and investment $-1.7519049983365038
170,553031.3148819167,Sold 1 units for price $2912.43735302127 and investment $1.0847406138014728
171,550091.8061829299,Bought 1 units for price $2939.508698986797
172,552955.1967774546,Sold 1 units for price $2863.390594524659 and investment $-2.589483898733648
173,555833.675069332,Sold 1 units for price $2878.4782918774486 and investment $-2.076211141351088
