DAY,TOTAL BALANCE,STATUS
0,996243.8329418298,Bought 1 units for price $3756.167058170141
1,992511.8690032073,Bought 1 units for price $3731.963938622517
2,988784.9799561783,Bought 1 units for price $3726.8890470289202
3,985049.3735582101,Bought 1 units for price $3735.6063979682176
4,981346.3127060957,Bought 1 units for price $3703.0608521143513
5,985036.0668137808,Sold 1 units for price $3689.754107685119 and investment $-0.3593444709836341
6,988723.2241452696,Sold 1 units for price $3687.1573314887605 and investment $-0.4294695998989667
7,985028.3458799815,Bought 1 units for price $3694.8782652880336
8,981319.0819010573,Bought 1 units for price $3709.263978924282
9,977596.6667711389,Bought 1 units for price $3722.4151299183677
10,973895.4904473204,Bought 1 units for price $3701.176323818489
11,970200.8976877893,Bought 1 units for price $3694.592759531165
12,966553.4997388849,Bought 1 units for price $3647.3979489044677
13,962890.2059646404,Bought 1 units for price $3663.293774244483
14,966558.1919173577,Sold 1 units for price $3667.985952717389 and investment $0.12808632782594187
15,962885.167557988,Bought 1 units for price $3673.024359369796
16,959183.0327708744,Bought 1 units for price $3702.134787113524
17,955491.0514079301,Bought 1 units for price $3691.981362944385
18,951792.0590583255,Bought 1 units for price $3698.992349604629
19,948125.3248307833,Bought 1 units for price $3666.734227542228
20,944456.1774232369,Bought 1 units for price $3669.1474075463625
21,940793.4635684548,Bought 1 units for price $3662.7138547820928
22,937171.6721229213,Bought 1 units for price $3621.7914455334944
23,933533.2839528522,Bought 1 units for price $3638.388170069074
24,929903.6462469414,Bought 1 units for price $3629.637705910865
25,926268.216928731,Bought 1 units for price $3635.4293182104657
26,922690.6830945448,Bought 1 units for price $3577.533834186093
27,919133.0227602939,Bought 1 units for price $3557.6603342509225
28,915551.261086085,Bought 1 units for price $3581.761674208933
29,911983.5091298098,Bought 1 units for price $3567.7519562751936
30,908374.0515460479,Bought 1 units for price $3609.457583761936
31,904747.1875314247,Bought 1 units for price $3626.864014623232
32,901162.0684209436,Bought 1 units for price $3585.119110481073
33,897624.8259640645,Bought 1 units for price $3537.242456879068
34,894052.2022570914,Bought 1 units for price $3572.623706973004
35,890506.6491090285,Bought 1 units for price $3545.55314806293
36,886956.1861778166,Bought 1 units for price $3550.462931211959
37,883446.7338921268,Bought 1 units for price $3509.4522856897497
38,879936.1923900133,Bought 1 units for price $3510.541502113581
39,876492.6727029114,Bought 1 units for price $3443.519687101813
40,873123.3227473979,Bought 1 units for price $3369.3499555134945
41,869812.9226784995,Bought 1 units for price $3310.4000688984584
42,866543.143572102,Bought 1 units for price $3269.77910639752
43,863232.9311792891,Bought 1 units for price $3310.212392812772
44,859961.9658496676,Bought 1 units for price $3270.965329621616
45,856571.3714343472,Bought 1 units for price $3390.594415320371
46,853170.3855240971,Bought 1 units for price $3400.985910250095
47,849704.9562718413,Bought 1 units for price $3465.4292522557757
48,846251.5399614508,Bought 1 units for price $3453.416310390451
49,842816.047736928,Bought 1 units for price $3435.4922245228167
50,839372.9437776738,Bought 1 units for price $3443.1039592542766
51,835946.0746480725,Bought 1 units for price $3426.869129601232
52,832462.3364339307,Bought 1 units for price $3483.7382141417784
53,828978.9325582896,Bought 1 units for price $3483.4038756410664
54,825490.200600413,Bought 1 units for price $3488.731957876587
55,821978.2322242394,Bought 1 units for price $3511.9683761736464
56,818444.118273067,Bought 1 units for price $3534.1139511723686
57,814966.9633924614,Bought 1 units for price $3477.1548806055935
58,811520.0207016454,Bought 1 units for price $3446.9426908159985
59,808100.5646686449,Bought 1 units for price $3419.4560330005297
60,804739.4499459473,Bought 1 units for price $3361.114722697685
61,801330.6288721721,Bought 1 units for price $3408.821073775213
62,797982.326629786,Bought 1 units for price $3348.302242386045
63,794601.513079049,Bought 1 units for price $3380.813550737058
64,791238.6044339233,Bought 1 units for price $3362.908645125655
65,787903.0494005978,Bought 1 units for price $3335.555033325461
66,784551.4734810413,Bought 1 units for price $3351.575919556605
67,781253.1093149264,Bought 1 units for price $3298.3641661148413
68,778006.5950285173,Bought 1 units for price $3246.514286409189
69,774769.6198009768,Bought 1 units for price $3236.9752275404308
70,771453.9660090508,Bought 1 units for price $3315.6537919259904
71,768172.9168828076,Bought 1 units for price $3281.049126243231
72,764853.3054570785,Bought 1 units for price $3319.6114257291138
73,761496.1155381688,Bought 1 units for price $3357.189918909741
74,758110.6336457537,Bought 1 units for price $3385.481892415121
75,754709.3318336308,Bought 1 units for price $3401.301812122968
76,751325.9198072625,Bought 1 units for price $3383.412026368288
77,747984.8609008812,Bought 1 units for price $3341.058906381296
78,744645.7226278554,Bought 1 units for price $3339.138273025903
79,741246.6684057675,Bought 1 units for price $3399.054222087793
80,737914.9088263365,Bought 1 units for price $3331.7595794309977
81,734487.8553581065,Bought 1 units for price $3427.053468229996
82,731032.7936025752,Bought 1 units for price $3455.0617555313074
83,727452.092530283,Bought 1 units for price $3580.701072292169
84,723925.4566377444,Bought 1 units for price $3526.6358925386244
85,720424.9887652807,Bought 1 units for price $3500.4678724636933
86,716917.1338967158,Bought 1 units for price $3507.8548685648643
87,713432.6364066458,Bought 1 units for price $3484.4974900700518
88,709953.9943189577,Bought 1 units for price $3478.6420876880416
89,706510.3654831023,Bought 1 units for price $3443.628835855403
90,703079.2200520992,Bought 1 units for price $3431.145431003053
91,699682.0765964761,Bought 1 units for price $3397.1434556230297
92,696296.3273748863,Bought 1 units for price $3385.7492215898737
93,692921.4684515619,Bought 1 units for price $3374.858923324397
94,689531.6972405976,Bought 1 units for price $3389.7712109642544
95,686149.3409727503,Bought 1 units for price $3382.3562678472767
96,682776.4730133594,Bought 1 units for price $3372.867959391033
97,679403.2071311332,Bought 1 units for price $3373.2658822261574
98,676022.8213295698,Bought 1 units for price $3380.3858015634446
99,672689.1015526496,Bought 1 units for price $3333.7197769201593
100,669328.5752858282,Bought 1 units for price $3360.526266821376
101,665977.2212172928,Bought 1 units for price $3351.354068535348
102,662628.0833265553,Bought 1 units for price $3349.137890737517
103,659300.3105131579,Bought 1 units for price $3327.7728133974383
104,655993.7001947949,Bought 1 units for price $3306.610318362977
105,652698.9309422101,Bought 1 units for price $3294.769252584735
106,649427.942303774,Bought 1 units for price $3270.9886384361944
107,646181.7508516943,Bought 1 units for price $3246.1914520796395
108,642923.2366389164,Bought 1 units for price $3258.514212777818
109,639704.7749806789,Bought 1 units for price $3218.4616582375256
110,636465.4382330081,Bought 1 units for price $3239.336747670828
111,633250.0005719821,Bought 1 units for price $3215.4376610260438
112,630014.3880880534,Bought 1 units for price $3235.612483928714
113,626738.501994088,Bought 1 units for price $3275.8860939654924
114,623481.1308287162,Bought 1 units for price $3257.371165371733
115,620229.4106672881,Bought 1 units for price $3251.7201614281453
116,617004.583199569,Bought 1 units for price $3224.827467719061
117,613789.0010272452,Bought 1 units for price $3215.582172323888
118,610562.5304894873,Bought 1 units for price $3226.4705377578607
119,607365.2233098722,Bought 1 units for price $3197.307179615136
