DAY,TOTAL BALANCE,STATUS
0,996243.929676949,Bought 1 units for price $3756.070323050938
1,992511.8900804671,Bought 1 units for price $3732.039596481973
2,988784.8515857887,Bought 1 units for price $3727.0384946784175
3,985049.4895557575,Bought 1 units for price $3735.362030031153
4,981346.4302591961,Bought 1 units for price $3703.0592965613855
5,985036.4390330183,Sold 1 units for price $3690.0087738222624 and investment $-0.35242543243208946
6,988723.6998734294,Sold 1 units for price $3687.260840411108 and investment $-0.42663254582360766
7,985028.7801685556,Bought 1 units for price $3694.9197048738283
8,981319.3719243819,Bought 1 units for price $3709.408244173665
9,977596.8898362082,Bought 1 units for price $3722.482088173738
10,973895.7203527801,Bought 1 units for price $3701.1694834281707
11,970201.1011633463,Bought 1 units for price $3694.6191894337135
12,966553.6130091794,Bought 1 units for price $3647.488154166968
13,962890.1521895832,Bought 1 units for price $3663.460819596167
14,966558.249118335,Sold 1 units for price $3668.09692875174 and investment $0.12654998603435988
15,962885.4257773394,Bought 1 units for price $3672.823340995602
16,959183.1765130413,Bought 1 units for price $3702.249264298117
17,955491.2192853517,Bought 1 units for price $3691.957227689505
18,951792.094763354,Bought 1 units for price $3699.124521997641
19,948125.3750064863,Bought 1 units for price $3666.7197568677416
20,944456.3668918126,Bought 1 units for price $3669.00811467361
21,940793.9212599107,Bought 1 units for price $3662.4456319019177
22,937172.2858939673,Bought 1 units for price $3621.635365943393
23,933533.9358667766,Bought 1 units for price $3638.350027190586
24,929904.2896252881,Bought 1 units for price $3629.646241488522
25,926268.877533989,Bought 1 units for price $3635.412091299053
26,922691.2887503498,Bought 1 units for price $3577.5887836392944
27,919133.7487410554,Bought 1 units for price $3557.540009294365
28,915551.8768376989,Bought 1 units for price $3581.871903356568
29,911984.0848911062,Bought 1 units for price $3567.7919465926147
30,908374.554256704,Bought 1 units for price $3609.530634402218
31,904747.646368634,Bought 1 units for price $3626.9078880701036
32,901162.4951937401,Bought 1 units for price $3585.151174893805
33,897625.4837898102,Bought 1 units for price $3537.011403929877
34,894052.8249436624,Bought 1 units for price $3572.6588461478004
