DAY,TOTAL BALANCE,STATUS
0,996243.9244386475,Bought 1 units for price $3756.075561352569
1,992511.8575910246,Bought 1 units for price $3732.066847622914
2,988784.8507003601,Bought 1 units for price $3727.0068906644624
3,985049.5197586303,Bought 1 units for price $3735.3309417298797
4,981346.3848477086,Bought 1 units for price $3703.134910921703
5,985036.4943506577,Sold 1 units for price $3690.1095029490025 and investment $-0.3517400334047937
6,988723.8178389571,Sold 1 units for price $3687.323488299433 and investment $-0.4269739829255828
7,985028.9242366999,Bought 1 units for price $3694.893602257177
8,981319.5196198812,Bought 1 units for price $3709.4046168187488
9,977597.0393986042,Bought 1 units for price $3722.4802212769378
10,973895.8490366915,Bought 1 units for price $3701.190361912768
11,970201.2641248548,Bought 1 units for price $3694.5849118366095
12,966553.7278230076,Bought 1 units for price $3647.5363018471667
13,962890.2478667283,Bought 1 units for price $3663.479956279245
14,966558.2799904272,Sold 1 units for price $3668.032123698879 and investment $0.12425801352703994
15,962885.4409778964,Bought 1 units for price $3672.839012530768
16,959183.2236748857,Bought 1 units for price $3702.217303010783
17,955491.292990906,Bought 1 units for price $3691.930683979641
18,951792.2369193037,Bought 1 units for price $3699.0560716024183
19,948125.502011581,Bought 1 units for price $3666.734907722651
20,944456.5141356807,Bought 1 units for price $3668.987875900183
21,940794.0039400785,Bought 1 units for price $3662.5101956022186
22,937172.3483531142,Bought 1 units for price $3621.655586964386
23,933534.0190661451,Bought 1 units for price $3638.329286969125
24,929904.3054982852,Bought 1 units for price $3629.7135678597942
25,926268.8858821624,Bought 1 units for price $3635.4196161228783
26,922691.3041589999,Bought 1 units for price $3577.5817231624897
27,919133.6440599535,Bought 1 units for price $3557.6600990463908
28,915551.7407080194,Bought 1 units for price $3581.903351934209
29,911984.0516568538,Bought 1 units for price $3567.68905116565
30,908374.5748292406,Bought 1 units for price $3609.47682761324
31,904747.6090328826,Bought 1 units for price $3626.965796358003
32,901162.5597819608,Bought 1 units for price $3585.049250921823
33,897625.6059886697,Bought 1 units for price $3536.953793291137
34,894052.9170169032,Bought 1 units for price $3572.688971766467
35,890507.4324983956,Bought 1 units for price $3545.4845185075715
36,886956.9471574943,Bought 1 units for price $3550.4853409012744
37,883447.4877292308,Bought 1 units for price $3509.459428263489
38,879937.0368285693,Bought 1 units for price $3510.4509006615117
39,876493.6625076816,Bought 1 units for price $3443.374320887635
40,873124.4904712456,Bought 1 units for price $3369.1720364360667
41,869814.1521253291,Bought 1 units for price $3310.338345916424
42,866544.2665680293,Bought 1 units for price $3269.885557299772
43,863234.1547129832,Bought 1 units for price $3310.1118550460683
44,859963.1477723776,Bought 1 units for price $3271.0069406056386
45,856572.440615253,Bought 1 units for price $3390.707157124545
46,853171.4361788926,Bought 1 units for price $3401.004436360389
47,849706.0334399792,Bought 1 units for price $3465.402738913393
48,846252.5323028481,Bought 1 units for price $3453.5011371310784
49,842817.026699489,Bought 1 units for price $3435.505603359033
50,839373.8550474907,Bought 1 units for price $3443.1716519983497
51,835946.9056270247,Bought 1 units for price $3426.949420465918
52,832463.082328677,Bought 1 units for price $3483.8232983477715
53,828979.7263760952,Bought 1 units for price $3483.355952581764
54,825491.0796966859,Bought 1 units for price $3488.646679409267
55,821979.0706137485,Bought 1 units for price $3512.0090829373307
56,818444.8864616682,Bought 1 units for price $3534.1841520803005
57,814967.8072558133,Bought 1 units for price $3477.079205854863
58,811521.0109933869,Bought 1 units for price $3446.7962624264605
59,808101.6122368441,Bought 1 units for price $3419.3987565427033
60,804740.6612627503,Bought 1 units for price $3360.950974093895
61,801332.0722424487,Bought 1 units for price $3408.58902030164
62,797983.6205801334,Bought 1 units for price $3348.4516623152563
63,794602.8745387467,Bought 1 units for price $3380.7460413867625
64,791239.9515136472,Bought 1 units for price $3362.9230250994015
65,787904.5343626862,Bought 1 units for price $3335.417150960954
66,784552.9934877502,Bought 1 units for price $3351.5408749360795
67,781254.6813955917,Bought 1 units for price $3298.3120921584637
68,778008.1028364222,Bought 1 units for price $3246.578559169552
69,774771.2090493091,Bought 1 units for price $3236.893787113001
70,771455.6426856978,Bought 1 units for price $3315.566363611353
71,768174.6180280275,Bought 1 units for price $3281.0246576703003
72,764855.1494414802,Bought 1 units for price $3319.468586547252
73,761498.1480812656,Bought 1 units for price $3357.0013602145227
74,758112.5813575902,Bought 1 units for price $3385.566723675519
75,754711.3792051085,Bought 1 units for price $3401.2021524816164
76,751327.8097485075,Bought 1 units for price $3383.5694566010498
77,747986.851786957,Bought 1 units for price $3340.9579615504854
78,744647.7138091652,Bought 1 units for price $3339.137977791863
79,741248.7167487096,Bought 1 units for price $3398.997060455661
80,737916.9247333765,Bought 1 units for price $3331.7920153330656
