DAY,TOTAL BALANCE,STATUS
0,996243.9311610477,Bought 1 units for price $3756.0688389523816
1,992511.8926162646,Bought 1 units for price $3732.038544783002
2,988784.8498614242,Bought 1 units for price $3727.042754840467
3,985049.4898505054,Bought 1 units for price $3735.360010918846
4,981346.4345765425,Bought 1 units for price $3703.055273962957
5,985036.4358390453,Sold 1 units for price $3690.001262502864 and investment $-0.35252002722937653
6,988723.6954717573,Sold 1 units for price $3687.259632712011 and investment $-0.4265569936805682
7,985028.7785393221,Bought 1 units for price $3694.916932435222
8,981319.3637087959,Bought 1 units for price $3709.4148305262056
9,977596.8856834418,Bought 1 units for price $3722.4780253540916
10,973895.7209266248,Bought 1 units for price $3701.164756816893
11,970201.1096314482,Bought 1 units for price $3694.611295176645
12,966553.6271383602,Bought 1 units for price $3647.482493088016
13,962890.1702059155,Bought 1 units for price $3663.456932444714
14,966558.2799090459,Sold 1 units for price $3668.1097031304103 and investment $0.12700492380543665
15,962885.4667888569,Bought 1 units for price $3672.8131201890537
16,959183.2100810297,Bought 1 units for price $3702.256707827157
17,955491.2527616135,Bought 1 units for price $3691.9573194162062
18,951792.1351200563,Bought 1 units for price $3699.11764155716
19,948125.4085683406,Bought 1 units for price $3666.7265517157134
20,944456.3911276766,Bought 1 units for price $3669.017440663979
21,940793.9392826939,Bought 1 units for price $3662.45184498265
22,937172.3099040559,Bought 1 units for price $3621.6293786379792
23,933533.9696305782,Bought 1 units for price $3638.340273477768
24,929904.3203681824,Bought 1 units for price $3629.6492623958397
25,926268.9119620332,Bought 1 units for price $3635.408406149137
26,922691.325878549,Bought 1 units for price $3577.5860834842297
27,919133.7841516114,Bought 1 units for price $3557.541726937624
28,915551.9090436215,Bought 1 units for price $3581.8751079898925
29,911984.1245551965,Bought 1 units for price $3567.7844884250285
30,908374.6062162445,Bought 1 units for price $3609.518338952031
31,904747.6971839126,Bought 1 units for price $3626.909032331877
32,901162.548850765,Bought 1 units for price $3585.148333147665
33,897625.5358541957,Bought 1 units for price $3537.012996569309
34,894052.8797731758,Bought 1 units for price $3572.6560810198753
35,890507.3478808278,Bought 1 units for price $3545.5318923479326
36,886956.8520690257,Bought 1 units for price $3550.4958118020936
37,883447.4225066951,Bought 1 units for price $3509.4295623306425
38,879936.9637891486,Bought 1 units for price $3510.458717546556
39,876493.5255786541,Bought 1 units for price $3443.438210494425
40,873124.3695930074,Bought 1 units for price $3369.1559856468184
41,869814.1287218648,Bought 1 units for price $3310.2408711425433
42,866544.1602761372,Bought 1 units for price $3269.968445727615
43,863234.0515331678,Bought 1 units for price $3310.108742969381
44,859963.0131528437,Bought 1 units for price $3271.0383803241075
45,856572.3328645357,Bought 1 units for price $3390.680288307948
46,853171.3576682825,Bought 1 units for price $3400.975196253246
47,849705.9585422644,Bought 1 units for price $3465.399126018
48,846252.4659682157,Bought 1 units for price $3453.49257404865
49,842816.911557083,Bought 1 units for price $3435.5544111326667
50,839373.7877621789,Bought 1 units for price $3443.1237949041515
51,835946.8684177839,Bought 1 units for price $3426.919344395098
52,832463.0539499612,Bought 1 units for price $3483.814467822716
53,828979.7138593005,Bought 1 units for price $3483.340090660701
54,825491.0573478178,Bought 1 units for price $3488.656511482649
55,821979.1279103671,Bought 1 units for price $3511.929437450767
56,818444.9195037385,Bought 1 units for price $3534.2084066286134
57,814967.77394247,Bought 1 units for price $3477.1455612685686
58,811520.9421283834,Bought 1 units for price $3446.831814086569
