DAY,TOTAL BALANCE,STATUS
0,996243.9200899086,Bought 1 units for price $3756.079910091345
1,992511.8592378644,Bought 1 units for price $3732.0608520442897
2,988784.8167021305,Bought 1 units for price $3727.042535733851
3,985049.4419753528,Bought 1 units for price $3735.374726777633
4,981346.3645600578,Bought 1 units for price $3703.077415295008
5,985036.3752803889,Sold 1 units for price $3690.010720331066 and investment $-0.352860431974015
6,988723.6637701605,Sold 1 units for price $3687.288489771663 and investment $-0.4263730879114522
7,985028.7181367143,Bought 1 units for price $3694.945633446247
8,981319.2946354294,Bought 1 units for price $3709.4235012848826
9,977596.8112058318,Bought 1 units for price $3722.4834295975875
10,973895.6143833463,Bought 1 units for price $3701.196822485489
11,970200.9783315092,Bought 1 units for price $3694.6360518370925
12,966553.5105056363,Bought 1 units for price $3647.467825872815
13,962890.0408152373,Bought 1 units for price $3663.4696903990052
14,966558.131238947,Sold 1 units for price $3668.090423709743 and investment $0.12612997243698884
15,962885.3066703709,Bought 1 units for price $3672.82456857623
16,959183.0838783355,Bought 1 units for price $3702.2227920353603
17,955491.1189660287,Bought 1 units for price $3691.9649123069207
18,951791.9908560998,Bought 1 units for price $3699.1281099289204
19,948125.2429894087,Bought 1 units for price $3666.7478666911047
20,944456.2731045597,Bought 1 units for price $3668.9698848489115
21,940793.858326952,Bought 1 units for price $3662.414777607791
22,937172.1948322016,Bought 1 units for price $3621.6634947504263
23,933533.8621949409,Bought 1 units for price $3638.3326372606207
24,929904.2584353552,Bought 1 units for price $3629.6037595857288
25,926268.8561072516,Bought 1 units for price $3635.402328103507
26,922691.2672175518,Bought 1 units for price $3577.5888896997853
27,919133.7349499385,Bought 1 units for price $3557.5322676133082
28,915551.8609515146,Bought 1 units for price $3581.8739984238646
29,911984.0464361777,Bought 1 units for price $3567.814515336911
30,908374.5477162353,Bought 1 units for price $3609.4987199424218
31,904747.6224932645,Bought 1 units for price $3626.925222970725
32,901162.4798192274,Bought 1 units for price $3585.14267403716
33,897625.4587227758,Bought 1 units for price $3537.021096451526
34,894052.7800958422,Bought 1 units for price $3572.6786269336053
35,890507.2350676485,Bought 1 units for price $3545.5450281937437
36,886956.7348943918,Bought 1 units for price $3550.5001732566634
37,883447.3141967184,Bought 1 units for price $3509.4206976734117
38,879936.8839558852,Bought 1 units for price $3510.4302408332396
39,876493.4417135187,Bought 1 units for price $3443.4422423665133
40,873124.2536885288,Bought 1 units for price $3369.188024989948
41,869814.0430325746,Bought 1 units for price $3310.210655954211
42,866544.0709854804,Bought 1 units for price $3269.972047094193
43,863233.9579933283,Bought 1 units for price $3310.112992152069
44,859962.9046749376,Bought 1 units for price $3271.0533183907264
45,856572.2230358159,Bought 1 units for price $3390.681639121704
46,853171.2385961637,Bought 1 units for price $3400.984439652181
47,849705.9056146814,Bought 1 units for price $3465.3329814822932
48,846252.4174829973,Bought 1 units for price $3453.488131684089
49,842816.8606358479,Bought 1 units for price $3435.556847149401
50,839373.7181869403,Bought 1 units for price $3443.142448907653
51,835946.8056237818,Bought 1 units for price $3426.912563158604
52,832463.0145907314,Bought 1 units for price $3483.791033050445
53,828979.6262125209,Bought 1 units for price $3483.388378210511
54,825490.9205604559,Bought 1 units for price $3488.7056520650262
55,821978.9985043036,Bought 1 units for price $3511.9220561522943
56,818444.7645406727,Bought 1 units for price $3534.233963631014
57,814967.602887405,Bought 1 units for price $3477.161653267679
58,811520.7787960878,Bought 1 units for price $3446.8240913171558
59,808101.3413798391,Bought 1 units for price $3419.4374162487384
60,804740.3615749779,Bought 1 units for price $3360.9798048612665
61,801331.7864821049,Bought 1 units for price $3408.575092872953
62,797983.3602547933,Bought 1 units for price $3348.426227311615
63,794602.582011261,Bought 1 units for price $3380.778243532276
64,791239.5559927515,Bought 1 units for price $3363.0260185095112
65,787904.1176777494,Bought 1 units for price $3335.438315002105
66,784552.5308978655,Bought 1 units for price $3351.5867798838017
67,781254.0964848538,Bought 1 units for price $3298.4344130118156
68,778007.4958031311,Bought 1 units for price $3246.6006817226476
69,774770.5450320973,Bought 1 units for price $3236.950771033913
70,771454.9799831766,Bought 1 units for price $3315.5650489206346
71,768173.9500178708,Bought 1 units for price $3281.029965305764
72,764854.4271872385,Bought 1 units for price $3319.522830632308
73,761497.4136250359,Bought 1 units for price $3357.0135622025923
74,758111.9377486834,Bought 1 units for price $3385.475876352555
75,754710.7800274539,Bought 1 units for price $3401.157721229472
76,751327.2095571065,Bought 1 units for price $3383.5704703474
77,747986.2624012463,Bought 1 units for price $3340.9471558601617
78,744647.0813101606,Bought 1 units for price $3339.1810910858117
79,741248.1075458513,Bought 1 units for price $3398.973764309294
80,737916.2833018765,Bought 1 units for price $3331.82424397474
81,734489.3292489947,Bought 1 units for price $3426.954052881749
82,731034.2762999495,Bought 1 units for price $3455.052949045237
83,727453.4323416041,Bought 1 units for price $3580.843958345341
84,723926.7559930586,Bought 1 units for price $3526.676348545545
85,720426.4315439009,Bought 1 units for price $3500.3244491576347
86,716918.3997701086,Bought 1 units for price $3508.0317737922664
87,713433.8646662639,Bought 1 units for price $3484.535103844668
88,709955.1568897277,Bought 1 units for price $3478.707776536232
89,706511.5085613648,Bought 1 units for price $3443.6483283628345
90,703080.2197286501,Bought 1 units for price $3431.2888327148303
91,699683.0462717873,Bought 1 units for price $3397.1734568627885
92,696297.5428795994,Bought 1 units for price $3385.5033921879035
93,692922.6867267956,Bought 1 units for price $3374.8561528037158
94,689532.8995995336,Bought 1 units for price $3389.787127261944
95,686150.9424322348,Bought 1 units for price $3381.957167298857
96,682778.1037904068,Bought 1 units for price $3372.8386418279492
97,679404.6768620663,Bought 1 units for price $3373.426928340575
98,676024.3561056558,Bought 1 units for price $3380.3207564105223
99,672690.6760014149,Bought 1 units for price $3333.6801042409083
100,669330.206050467,Bought 1 units for price $3360.469950947865
101,665978.9318363677,Bought 1 units for price $3351.2742140993164
102,662629.7818870846,Bought 1 units for price $3349.149949283155
103,659302.0139420084,Bought 1 units for price $3327.76794507623
104,655995.55004466,Bought 1 units for price $3306.463897348377
105,652700.9257494201,Bought 1 units for price $3294.6242952399257
106,649429.7925568647,Bought 1 units for price $3271.1331925554023
107,646183.5389366382,Bought 1 units for price $3246.2536202264614
108,642925.1137947777,Bought 1 units for price $3258.4251418604567
109,639706.655799412,Bought 1 units for price $3218.4579953655507
110,636467.2515766578,Bought 1 units for price $3239.404222754317
111,633251.6529181523,Bought 1 units for price $3215.5986585055184
112,630016.0189412254,Bought 1 units for price $3235.6339769268843
113,626740.0207578698,Bought 1 units for price $3275.998183355583
114,623482.7019409478,Bought 1 units for price $3257.318816921975
115,620230.8705232107,Bought 1 units for price $3251.831417737026
116,617006.1552370255,Bought 1 units for price $3224.715286185227
117,613790.5907075028,Bought 1 units for price $3215.564529522689
118,610564.013202552,Bought 1 units for price $3226.577504950765
119,607366.5140924694,Bought 1 units for price $3197.499110082573
120,610521.7268900202,Sold 1 units for price $3155.212797550875 and investment $-1.3224808225390263
121,607336.6785215137,Bought 1 units for price $3185.0483685064423
122,610488.7092286388,Sold 1 units for price $3152.030707125137 and investment $-1.036645525003076
123,613658.6315204216,Sold 1 units for price $3169.922291782792 and investment $-0.4749088545472678
124,616803.9507084679,Sold 1 units for price $3145.319188046252 and investment $-1.247365058974618
125,613624.2460214945,Bought 1 units for price $3179.70468697337
