DAY,TOTAL BALANCE,STATUS
110,636467.2094212606,Bought 1 units for price $3239.3767253512665
111,633251.5920285648,Bought 1 units for price $3215.6173926959164
112,630015.9493040913,Bought 1 units for price $3235.642724473519
113,626739.9401398372,Bought 1 units for price $3276.0091642540924
114,623482.5763960753,Bought 1 units for price $3257.363743761887
115,620230.7322173606,Bought 1 units for price $3251.8441787146544
116,617005.9748182286,Bought 1 units for price $3224.7573991320587
117,613790.4385779154,Bought 1 units for price $3215.536240313228
118,610563.9049080369,Bought 1 units for price $3226.533669878512
119,607366.3199858142,Bought 1 units for price $3197.584922222809
120,610521.5722284308,Sold 1 units for price $3155.2522426166333 and investment $-1.3238953971783156
121,607336.4803028518,Bought 1 units for price $3185.0919255789563
122,610488.5744424589,Sold 1 units for price $3152.0941396071757 and investment $-1.0360073348835146
123,613658.514101704,Sold 1 units for price $3169.939659245035 and investment $-0.475724616053813
124,616803.8453056805,Sold 1 units for price $3145.331203976565 and investment $-1.2483382750456677
125,613624.1443525442,Bought 1 units for price $3179.700953136332
126,610494.1391661428,Bought 1 units for price $3130.005186401397
127,607378.3436897276,Bought 1 units for price $3115.7954764151573
128,604278.0994497635,Bought 1 units for price $3100.244239964087
129,601224.836976842,Bought 1 units for price $3053.262472921495
130,598215.7990917279,Bought 1 units for price $3009.0378851141218
131,595132.0430415041,Bought 1 units for price $3083.756050223826
132,592081.7285633063,Bought 1 units for price $3050.314478197882
133,588950.4261976422,Bought 1 units for price $3131.3023656640944
134,585832.5387374223,Bought 1 units for price $3117.8874602198493
135,582734.7881992303,Bought 1 units for price $3097.7505381920173
136,579619.4430051969,Bought 1 units for price $3115.3451940334808
137,576505.9282187443,Bought 1 units for price $3113.5147864525293
138,573381.214705886,Bought 1 units for price $3124.7135128584337
139,570314.6519944203,Bought 1 units for price $3066.5627114656427
140,567273.3377191063,Bought 1 units for price $3041.3142753139473
141,564271.2407991835,Bought 1 units for price $3002.096919922889
142,561081.12128003,Bought 1 units for price $3190.119519153473
143,557873.9166415778,Bought 1 units for price $3207.2046384520972
144,554641.5223757885,Bought 1 units for price $3232.394265789337
145,551447.5688620271,Bought 1 units for price $3193.953513761426
146,548335.2048437577,Bought 1 units for price $3112.3640182694185
147,545212.3336114407,Bought 1 units for price $3122.8712323169098
148,542131.5319592484,Bought 1 units for price $3080.801652192409
149,539075.7844866348,Bought 1 units for price $3055.747472613596
150,536031.4540069089,Bought 1 units for price $3044.3304797258565
151,533001.7249227343,Bought 1 units for price $3029.729084174594
152,529965.5571003624,Bought 1 units for price $3036.167822371941
153,526973.765098458,Bought 1 units for price $2991.7920019043268
154,529929.1927547022,Sold 1 units for price $2955.4276562441764 and investment $-1.215470381530661
155,526980.7004132414,Bought 1 units for price $2948.49234146078
156,529952.3168820849,Sold 1 units for price $2971.616468843519 and investment $0.7842695420155852
157,527029.4012953223,Bought 1 units for price $2922.9155867626287
158,529983.3556969399,Sold 1 units for price $2953.954401617478 and investment $1.0619128036204286
159,532847.0910112952,Sold 1 units for price $2863.7353143553564 and investment $-2.0247000178619357
160,535699.5707544569,Sold 1 units for price $2852.4797431617408 and investment $-2.409780286501583
161,532879.5872195096,Bought 1 units for price $2819.983534947311
162,535749.6479978225,Sold 1 units for price $2870.0607783128444 and investment $1.7757991401346613
163,538679.8761367379,Sold 1 units for price $2930.2281389153777 and investment $3.9094059451707595
164,541609.6411542513,Sold 1 units for price $2929.765017513459 and investment $3.892983104534304
165,538728.4740895804,Bought 1 units for price $2881.1670646709554
166,541576.8981114491,Sold 1 units for price $2848.424021868684 and investment $-1.1364506836055575
167,544445.315473906,Sold 1 units for price $2868.4173624569453 and investment $-0.4425186713518874
168,547288.0661525961,Sold 1 units for price $2842.7506786901668 and investment $-1.3333619716764316
169,550118.7578793378,Sold 1 units for price $2830.691726741614 and investment $-1.751905974085057
170,553031.1805025343,Sold 1 units for price $2912.4226231965154 and investment $1.0848228451872
171,550091.6491052036,Bought 1 units for price $2939.5313973306847
172,552955.0195567732,Sold 1 units for price $2863.370451569619 and investment $-2.59092132270557
173,555833.4478790582,Sold 1 units for price $2878.4283222850045 and investment $-2.0786672018936914
174,558670.1849567833,Sold 1 units for price $2836.737077725158 and investment $-3.4969628049855705
175,555872.3455374766,Bought 1 units for price $2797.8394193067406
176,558671.6227609433,Sold 1 units for price $2799.2772234666386 and investment $0.05138980278768877
177,561408.1717552653,Sold 1 units for price $2736.5489943220787 and investment $-2.1906341215196954
178,564231.3140960848,Sold 1 units for price $2823.1423408194173 and investment $0.9043736155145863
179,567105.8340609141,Sold 1 units for price $2874.5199648292723 and investment $2.740705738627841
180,569905.3595932481,Sold 1 units for price $2799.5255323340275 and investment $0.060264824909238596
181,572688.6823688718,Sold 1 units for price $2783.3227756236347 and investment $-0.5188519249150807
182,575534.7025636621,Sold 1 units for price $2846.0201947903383 and investment $1.7220707933100794
183,578296.3053158631,Sold 1 units for price $2761.602752201043 and investment $-1.2951660790695545
184,581086.1425173464,Sold 1 units for price $2789.8372014832757 and investment $-0.2860141925317397
185,583836.1305881443,Sold 1 units for price $2749.9880707978673 and investment $-1.7102964587127782
186,586495.5724888642,Sold 1 units for price $2659.441900719909 and investment $-4.946585484206393
187,589159.240583971,Sold 1 units for price $2663.6680951068925 and investment $-4.795533413175431
188,591647.9426331958,Sold 1 units for price $2488.702049224706 and investment $-11.049146278689353
189,594174.7874106013,Sold 1 units for price $2526.84477740552 and investment $-9.685854021184994
190,596645.2663986116,Sold 1 units for price $2470.478988010301 and investment $-11.70047248020955
191,599229.872606112,Sold 1 units for price $2584.606207500413 and investment $-7.62135276009384
192,601856.5462004461,Sold 1 units for price $2626.6735943340177 and investment $-6.117785881190246
193,604398.0185823727,Sold 1 units for price $2541.472381926657 and investment $-9.163036148929782
194,607028.064463083,Sold 1 units for price $2630.045880710303 and investment $-5.997254075361265
195,609503.6217135652,Sold 1 units for price $2475.557250482127 and investment $-11.518965906358911
196,611950.967072322,Sold 1 units for price $2447.345358756877 and investment $-12.527311543730784
197,614188.3485778958,Sold 1 units for price $2237.381505573706 and investment $-20.031811327896264
198,616493.2642265267,Sold 1 units for price $2304.915648630978 and investment $-17.61801507528624
199,618902.6926892467,Sold 1 units for price $2409.4284627200627 and investment $-13.882532139136128
200,616504.6310160055,Bought 1 units for price $2398.061673241215
201,613975.3977275394,Bought 1 units for price $2529.233288466155
202,611589.2600003091,Bought 1 units for price $2386.137727230268
203,608878.2425167984,Bought 1 units for price $2711.0174835106022
204,606397.6623589915,Bought 1 units for price $2480.5801578069663
205,609139.0441414478,Sold 1 units for price $2741.381782456252 and investment $10.513735015918835
206,606256.8359327101,Bought 1 units for price $2882.2082087376625
207,603510.2487527197,Bought 1 units for price $2746.5871799903275
208,600537.8667909943,Bought 1 units for price $2972.381961725376
209,597513.9417004486,Bought 1 units for price $3023.9250905456597
210,594383.8241632185,Bought 1 units for price $3130.117537230133
211,591380.4581369323,Bought 1 units for price $3003.366026286198
212,588290.2160814616,Bought 1 units for price $3090.2420554706655
213,585336.0154471197,Bought 1 units for price $2954.200634341942
214,582357.2688608661,Bought 1 units for price $2978.7465862535864
215,579240.8764532263,Bought 1 units for price $3116.3924076397457
216,576112.63955584,Bought 1 units for price $3128.2368973863126
217,572886.7628196888,Bought 1 units for price $3225.8767361512328
218,569549.0034216285,Bought 1 units for price $3337.759398060219
219,566175.695517341,Bought 1 units for price $3373.3079042875206
220,562789.5497486091,Bought 1 units for price $3386.145768731964
221,559419.2309499236,Bought 1 units for price $3370.318798685467
222,556039.0677083859,Bought 1 units for price $3380.1632415377785
223,552665.1282025868,Bought 1 units for price $3373.9395057990837
224,549285.7063150997,Bought 1 units for price $3379.4218874870453
225,545927.9572428974,Bought 1 units for price $3357.7490722023963
226,542575.9005776619,Bought 1 units for price $3352.0566652354682
227,539248.21293828,Bought 1 units for price $3327.6876393819985
228,535902.4134627398,Bought 1 units for price $3345.799475540189
229,532567.6889929107,Bought 1 units for price $3334.7244698291706
230,529270.027432724,Bought 1 units for price $3297.6615601867047
231,526021.0850604943,Bought 1 units for price $3248.9423722297543
232,522795.6365761942,Bought 1 units for price $3225.448484300027
233,519512.02320303896,Bought 1 units for price $3283.6133731552172
234,516238.61271443043,Bought 1 units for price $3273.410488608516
235,512962.3841819707,Bought 1 units for price $3276.2285324597387
236,509718.7309121058,Bought 1 units for price $3243.653269864857
237,506423.2642786756,Bought 1 units for price $3295.4666334301974
238,503097.74774100346,Bought 1 units for price $3325.516537672139
239,499775.9680069924,Bought 1 units for price $3321.77973401103
240,496455.19586365,Bought 1 units for price $3320.772143342395
241,493125.6072505711,Bought 1 units for price $3329.5886130789404
242,489808.7746624035,Bought 1 units for price $3316.832588167543
243,486519.47606066865,Bought 1 units for price $3289.2986017348626
244,483236.2822167017,Bought 1 units for price $3283.193843966915
245,479948.1421523378,Bought 1 units for price $3288.140064363897
246,476682.74540740065,Bought 1 units for price $3265.3967449371694
247,473407.99844133883,Bought 1 units for price $3274.7469660618513
248,470154.96290025115,Bought 1 units for price $3253.035541087676
249,466917.8258693256,Bought 1 units for price $3237.137030925518
250,463671.5527109231,Bought 1 units for price $3246.2731584025073
251,460436.69325769163,Bought 1 units for price $3234.859453231437
252,457178.8545519532,Bought 1 units for price $3257.838705738449
253,453948.0526058568,Bought 1 units for price $3230.80194609641
254,450726.793896889,Bought 1 units for price $3221.258708967792
255,447486.8158259397,Bought 1 units for price $3239.978070949305
256,444246.87257029477,Bought 1 units for price $3239.9432556449487
257,441023.48572846263,Bought 1 units for price $3223.3868418321485
258,437799.4591350369,Bought 1 units for price $3224.0265934257395
259,434578.2199606569,Bought 1 units for price $3221.239174379999
260,431372.9087235341,Bought 1 units for price $3205.311237122832
261,428181.7643837127,Bought 1 units for price $3191.14433982136
262,424989.19109715807,Bought 1 units for price $3192.5732865546497
263,421797.7673278502,Bought 1 units for price $3191.423769307852
264,418628.99749319104,Bought 1 units for price $3168.7698346591924
265,415460.4196681856,Bought 1 units for price $3168.577825005445
266,412318.8031197931,Bought 1 units for price $3141.6165483924706
267,409186.29563699145,Bought 1 units for price $3132.507482801685
268,406050.2480125935,Bought 1 units for price $3136.0476243979833
269,402904.3612164291,Bought 1 units for price $3145.8867961643873
270,399786.9665645419,Bought 1 units for price $3117.3946518871753
271,396674.20194668736,Bought 1 units for price $3112.764617854541
272,393581.05513768754,Bought 1 units for price $3093.1468089998134
273,390467.1440850111,Bought 1 units for price $3113.911052676457
274,387326.1650682863,Bought 1 units for price $3140.9790167247943
275,384172.53834074107,Bought 1 units for price $3153.626727545224
276,381032.08103042265,Bought 1 units for price $3140.4573103184507
277,377898.400362497,Bought 1 units for price $3133.6806679255988
278,374788.14319773886,Bought 1 units for price $3110.257164758155
279,371684.61903837754,Bought 1 units for price $3103.524159361333
280,368576.159189231,Bought 1 units for price $3108.459849146565
281,365455.958859455,Bought 1 units for price $3120.200329775973
282,362333.90435442666,Bought 1 units for price $3122.054505028345
283,359213.46265224443,Bought 1 units for price $3120.441702182248
284,356116.84360684076,Bought 1 units for price $3096.619045403661
285,353022.80598255584,Bought 1 units for price $3094.037624284935
286,349930.92566011293,Bought 1 units for price $3091.880322442904
287,346843.9230606708,Bought 1 units for price $3087.002599442149
288,343750.8405939924,Bought 1 units for price $3093.082466678426
289,340665.67052990355,Bought 1 units for price $3085.170064088852
290,337588.8799595656,Bought 1 units for price $3076.7905703379743
291,334514.2724643565,Bought 1 units for price $3074.607495209115
292,331436.0256072243,Bought 1 units for price $3078.2468571321874
293,328369.12785852276,Bought 1 units for price $3066.897748701568
294,325331.5928744576,Bought 1 units for price $3037.53498406517
295,322284.78477104614,Bought 1 units for price $3046.808103411432
296,319247.8932600226,Bought 1 units for price $3036.891511023538
297,316208.4822368409,Bought 1 units for price $3039.4110231817212
298,313185.93591001607,Bought 1 units for price $3022.5463268248313
299,310175.63812772627,Bought 1 units for price $3010.2977822897856
300,307171.08906984783,Bought 1 units for price $3004.549057878426
301,304175.0898743913,Bought 1 units for price $2995.999195456481
302,301168.3718325275,Bought 1 units for price $3006.718041863821
303,298182.1948033542,Bought 1 units for price $2986.177029173321
304,295184.30402591435,Bought 1 units for price $2997.890777439881
305,292194.60211791634,Bought 1 units for price $2989.7019079979946
306,289198.9148890365,Bought 1 units for price $2995.687228879814
307,286232.73207796784,Bought 1 units for price $2966.18281106866
308,283262.4286344277,Bought 1 units for price $2970.3034435401464
309,280324.26437314774,Bought 1 units for price $2938.164261279976
310,277404.86160005047,Bought 1 units for price $2919.402773097245
311,274511.82999370625,Bought 1 units for price $2893.031606344197
312,271573.05877769936,Bought 1 units for price $2938.771216006905
313,268621.06795114646,Bought 1 units for price $2951.990826552882
314,265710.4401925444,Bought 1 units for price $2910.6277586020174
315,262822.7957827113,Bought 1 units for price $2887.6444098331353
316,259882.53109239062,Bought 1 units for price $2940.264690320681
317,256905.8617835149,Bought 1 units for price $2976.6693088757224
318,253944.0843280913,Bought 1 units for price $2961.777455423609
319,250966.45584304334,Bought 1 units for price $2977.6284850479547
320,247981.5815599375,Bought 1 units for price $2984.874283105827
321,245014.97407488985,Bought 1 units for price $2966.6074850476507
322,242023.2363179673,Bought 1 units for price $2991.737756922564
323,239031.12712654364,Bought 1 units for price $2992.109191423648
324,236024.32793980575,Bought 1 units for price $3006.7991867378773
325,233017.62097585207,Bought 1 units for price $3006.706963953675
326,230011.87189561155,Bought 1 units for price $3005.749080240516
327,227013.9176069208,Bought 1 units for price $2997.954288690763
328,224006.56605245167,Bought 1 units for price $3007.3515544691045
329,220996.9470363531,Bought 1 units for price $3009.6190160985493
330,217996.01854409743,Bought 1 units for price $3000.928492255698
331,215016.66500312486,Bought 1 units for price $2979.353540972586
332,212038.21301263303,Bought 1 units for price $2978.451990491813
333,209059.4976298208,Bought 1 units for price $2978.7153828122273
334,206083.4909089326,Bought 1 units for price $2976.0067208881987
335,203145.74483771477,Bought 1 units for price $2937.746071217848
336,200239.4675932256,Bought 1 units for price $2906.2772444891607
337,197313.03332883178,Bought 1 units for price $2926.434264393808
338,194388.43946607938,Bought 1 units for price $2924.5938627524074
339,191500.48658625185,Bought 1 units for price $2887.95287982754
340,188631.29481612673,Bought 1 units for price $2869.1917701251177
341,185752.94439184692,Bought 1 units for price $2878.3504242798217
342,182905.8481274858,Bought 1 units for price $2847.0962643611133
343,179982.82961754326,Bought 1 units for price $2923.018509942552
344,177058.44041180745,Bought 1 units for price $2924.3892057358235
345,174157.9192468821,Bought 1 units for price $2900.52116492533
346,171234.2307858014,Bought 1 units for price $2923.6884610807147
347,168345.52677567952,Bought 1 units for price $2888.7040101218618
348,165497.91435606108,Bought 1 units for price $2847.6124196184346
349,162657.2827046612,Bought 1 units for price $2840.6316513998772
350,159730.92647128407,Bought 1 units for price $2926.356233377123
351,156848.18965848448,Bought 1 units for price $2882.7368127995887
352,153929.5617759766,Bought 1 units for price $2918.627882507893
353,150991.46029845762,Bought 1 units for price $2938.101477518976
354,148107.45627069424,Bought 1 units for price $2884.0040277633802
355,145225.64965045016,Bought 1 units for price $2881.8066202440905
356,142380.90277857915,Bought 1 units for price $2844.746871870993
357,139448.88659206167,Bought 1 units for price $2932.016186517484
358,136495.33346093603,Bought 1 units for price $2953.55313112563
359,133514.9464693361,Bought 1 units for price $2980.3869915999285
360,130501.77421928043,Bought 1 units for price $3013.1722500556834
361,127480.79075281156,Bought 1 units for price $3020.983466468861
362,124454.91134750606,Bought 1 units for price $3025.879405305509
363,121451.21986650664,Bought 1 units for price $3003.6914809994146
364,118431.64953770385,Bought 1 units for price $3019.570328802788
365,115426.17349928682,Bought 1 units for price $3005.476038417041
366,112441.16420205576,Bought 1 units for price $2985.00929723105
367,109464.5915918729,Bought 1 units for price $2976.572610182869
368,106469.46140084886,Bought 1 units for price $2995.1301910240404
369,103485.04485194052,Bought 1 units for price $2984.4165489083343
370,100481.0069391699,Bought 1 units for price $3004.0379127706124
371,97466.74881789708,Bought 1 units for price $3014.258121272821
372,94452.99623831241,Bought 1 units for price $3013.75257958467
373,91453.06960531906,Bought 1 units for price $2999.926632993342
374,88459.97237139617,Bought 1 units for price $2993.0972339228856
375,85480.33902805424,Bought 1 units for price $2979.633343341932
376,82504.4080994533,Bought 1 units for price $2975.930928600935
377,79513.97740975482,Bought 1 units for price $2990.4306896984767
378,76518.20416320226,Bought 1 units for price $2995.773246552561
