DAY,TOTAL BALANCE,STATUS
0,996243.9102846761,Bought 1 units for price $3756.089715323891
1,992511.8674101279,Bought 1 units for price $3732.042874548185
2,988784.8305488362,Bought 1 units for price $3727.036861291693
3,985049.4747950502,Bought 1 units for price $3735.3557537859833
4,981346.4250274535,Bought 1 units for price $3703.0497675967226
5,985036.4348325969,Sold 1 units for price $3690.009805143504 and investment $-0.3521411612483325
6,988723.7004107224,Sold 1 units for price $3687.265578125539 and investment $-0.42624837530681203
7,985028.7741245845,Bought 1 units for price $3694.9262861379348
8,981319.366234267,Bought 1 units for price $3709.4078903175055
9,977596.9026915891,Bought 1 units for price $3722.4635426779655
10,973895.7326319282,Bought 1 units for price $3701.1700596609626
11,970201.1106232546,Bought 1 units for price $3694.622008673651
12,966553.6104005519,Bought 1 units for price $3647.5002227026616
13,962890.1527849989,Bought 1 units for price $3663.4576155530976
14,966558.273002432,Sold 1 units for price $3668.120217433101 and investment $0.1272732584705904
15,962885.4731898239,Bought 1 units for price $3672.7998126080297
16,959183.2113149505,Bought 1 units for price $3702.2618748734467
17,955491.2510303892,Bought 1 units for price $3691.9602845612358
18,951792.1348961651,Bought 1 units for price $3699.1161342240857
19,948125.4229364098,Bought 1 units for price $3666.7119597552614
20,944456.4169165676,Bought 1 units for price $3669.0060198421897
21,940793.9573777172,Bought 1 units for price $3662.459538850398
22,937172.3277269952,Bought 1 units for price $3621.629650722064
23,933533.9607289503,Bought 1 units for price $3638.3669980448462
24,929904.3092421839,Bought 1 units for price $3629.651486766421
25,926268.8997201045,Bought 1 units for price $3635.409522079425
26,922691.3164989115,Bought 1 units for price $3577.5832211930306
27,919133.7705438881,Bought 1 units for price $3557.5459550233477
28,915551.9120003425,Bought 1 units for price $3581.858543545548
29,911984.1253746471,Bought 1 units for price $3567.7866256954608
30,908374.5986288129,Bought 1 units for price $3609.5267458341323
31,904747.6812716167,Bought 1 units for price $3626.917357196261
32,901162.5380578808,Bought 1 units for price $3585.1432137358997
33,897625.518203655,Bought 1 units for price $3537.019854225771
34,894052.8623492542,Bought 1 units for price $3572.655854400845
35,890507.3299216074,Bought 1 units for price $3545.532427646854
36,886956.8133032643,Bought 1 units for price $3550.516618343095
37,883447.3694570211,Bought 1 units for price $3509.4438462432345
38,879936.9155126608,Bought 1 units for price $3510.453944360368
39,876493.4760170603,Bought 1 units for price $3443.4394956004076
40,873124.3288214353,Bought 1 units for price $3369.147195624973
